Category,Product Code,Product Description,Sale Price,y/n
,TNKERALAFISHCOCONUTMILK,TN FZN KERALA FISH CURRY WITH COCO MILK 284G X 12,42.99,
,TNKERALAFISHSHAPILECURRY,TN FZN FISH CURRY SHAPPILE CURRY 284G X 12,39.49,
,TNKILIMEENCLEANED,TN FZN KILIMEEN CLEANED 600G X 15,47.99,
,TNKINGFISHCURRY,TN FZN KING FISH CURRY 284G X 12,58.2,
,TNKOOTUCURRYFRO,TN FZN KOOTTU CURRY 284G X 12,26.28,
,TNMACKERELMARINATEDTN,FZN MACKEREL MARINATED (15-16) 284G X 12,34.69,
,TNMACKERELMULAKITTATHU,TN FZN MACKEREL MULAKITTATHU 284G X 12,39.49,
,TNPRAWNBIRIYANI,TN FZN PRAWN BIRIYANI 284G X 12,38.99,
,TNPRAWNMANGOCURRY,TN FZN PRAWN MANGO CURRY 284G X 12,42.99,
,TNPRAWNROAST,TN FZN PRAWN ROAST 284G X 12,52.49,
,TNSAILFISHCURRYCUT,TN FZN SAIL FISH CURRY CUT 600G X 15,62.85,
,TNSARDINEMARINATED,TN FZN SARDINE MARINATED 284G X 12,33.49,
,TNSARDINEMULAKITTATHUTN,FZN SARDINE MULAKITTATHU 284G X12,39.49,
HALDIRAM,HDALLINONE,HD ALL IN ONE 200G x 10,7.29,
HALDIRAM,HDALOOBHUJIA,HD ALOO BHUJIA 200G x 10,7.29,
HALDIRAM,HDALOOK,HALDI ALOO KULCHA 320G X 24,52,
HALDIRAM,HDBHELPURI,HD BHELPURI 200G x 10,7.29,
HALDIRAM,HDBHUJIAMASALA,HD BHUJIA 200G x 10,7.29,
HALDIRAM,HDBOMBAYMIX,HD BOMBAY MIX 200G x 10,7.29,
HALDIRAM,HDBOMBAYMIXORIGINALHD,BOMBAY MIX ORIGINAL 200G x 6,4.5,
HALDIRAM,HDBOONDIMASALA,HD BOONDI MASALA 200G x 10,7.29,
HALDIRAM,HDBOONDIPLAIN,HALDIRAM BOONDI SALTED 200G x 10,7.29,
HALDIRAM,HDCHAMU,HALDI MULTIGRAIN CHAPATI 360GM X 24 PM: £2.49,38.88,
HALDIRAM,HDCHANADAL,HD CHANA DAL 200G X 10,7.29,
HALDIRAM,HDCHILLILACCHA,HD CHILLI LACCHA 200G x 5,3.75,
HALDIRAM,HDCOCOCHTY,HALDI COCONUT CHUTNEY 5CUPX60G X 12,30,
HALDIRAM,HDDALBIJI,HD DAL BIJI 200G x 15,10.99,
HALDIRAM,HDDALMAKHANI,HALDI VEGAN DALMAKHANI 283G X 12,31.08,
HALDIRAM,HDDEWRMV,HALDI DESI WRAP MIX.VEG 156G X 24,36,
HALDIRAM,HDDEWRSHAM,HALDI DESI WRAP SHAMI KEBAB 156G X 24,36,
HALDIRAM,HDGATHIYA,HD GATHIYA 200G x 5,3.65,
HALDIRAM,HDGUJRATIMIX,HD GUJRATI MIX 200G x 10,7.29,
HALDIRAM,HDKASHMIRIMIX,HD KASHMIRI MIX 200G x 15,13.99,
HALDIRAM,HDKHATTAMEETHA,HD KHATTA MEETHA 200G x 10,7.29,
HALDIRAM,HDMATHRI,HD MATHRI 200G x 10,7.29,
HALDIRAM,HDMETHISEV,HD METHI SEV 200G x 10,7.29,
HALDIRAM,HDMOM,HD VEG MOMOS 350G X 16 PM: £2.99,31.99,
HALDIRAM,HDMOONGDAL,HD MOONG DAL 200G x 10,7.29,
HALDIRAM,HDMOONGDALMASALA,HD MOONG DAL MASALA 200G x 10,7.29,
HALDIRAM,HDMUTTK,HALDI MUTTER KACHORI 420G X 20,56,
HALDIRAM,HDNAVRATNA,HD NAVRATNA MIX 200G x 10,7.29,
HALDIRAM,HDNIMBUMASALA,HD NIMBU MASALA 200G x 10,7.79,
HALDIRAM,HDOFALOTI,HALDI OFFER ALOO TIKKI 420G X 20,31.49,
HALDIRAM,HDOFCOCS,HALDI OFFER COCKTAIL SAMOSA 650GM X 12,29.49,
HALDIRAM,HDOFDALKA,HALDI OFFER DAL KACHORI 420G X 20,31.49,
HALDIRAM,HDOFMETHI300,HALDI OFFER METHI PARATHA 300G X 24,23,
HALDIRAM,HDOFPHU,HALDI OFFER PHULKA ROTI 360G X 24,22.99,
HALDIRAM,HDOFPUNS,HALDI OFFER PUNJABI SAMOSA 650G X 12,26.49,
HALDIRAM,HDOLONGSEV,HD LONG SEV 200G x 10,7.29,
HALDIRAM,HDPARAALOO,HALDI ALOO PARATHA 400G X 20 £2.49PM,32.4,
HALDIRAM,HDPARAHOME,HALDI HOMESTYLE PARATHA 360G X 24 £1.99PM,30.99,
HALDIRAM,HDPARALACHHA,HALDI LACHHA PARATHA 360G X 24 PM: £1.99,30.96,
HALDIRAM,HDPARAMETHI,HALDI METHI PARATHA 300G X 24 PM: £1.99,30.96,
HALDIRAM,HDPARAMIXVEG,HALDI MIX VEG PARATHA 400G X 20 PM :2.49,32.4,
HALDIRAM,HDPUNJABISAM,HALDI PUNJABI SAMOSA 650G X 12 PM: £4.99,38.88,
HALDIRAM,HDPUNJABITADKA,HD PUNJABI TADKA 200G x 10,7.29,
HALDIRAM,HDRAJRASEELA,HALDI RAJMA RASEELA 283G X 12,24.49,
HALDIRAM,HDSABUDA,HALDI SABUDANA TIKKI 320GM X 12,30,
HALDIRAM,HDSAMOSA,HD SAMOSA 200G x 10,7.29,
HALDIRAM,HDSOANPAPDI,HD SOAN PAPDI 500G,1.95,
HALDIRAM,HDSPROLL,HD SPRING ROLL 370G X 12,33,
HALDIRAM,HDTADKADAL,HALDI TADKA DAL 283G X 12,25.49,
HALDIRAM,HDTANGA,HALDI TANDOORI GARLIC NAAN 400G X 20 £2.49PM,32.49,
ROYAL DELICASY,RDGRATEDC,RD GRATED COCONUT 400GM X 28,69.72,
SARAS,SARCORI,SARAS CORIANDER POWDER 500G X 20,39.8,
SARAS,SARIDIA,SARAS EASY IDIAPPAM PODI 1KG X 12,23.88,
SARAS,SARPALAP,SARAS EASY PALAPPAM PODI 1KG X 12,23.88,
SARAS,SARTAMARIND,SARAS TAMARIND (V PULI) 500G X 20,35,
SARAS,SARV,SARAS COCO VARATHARA GRAVY10X200GM,19.9,
MAYIL,MLCUTMANGOPICK,MAYIL CUT MANGO PICKLE 1KG X 6,18.49,
TYJ,TYJ-M,TYJ SPRING ROLL10 inch x30 SHEETS X30PKT,49.99,
TYJ,TYJS-M,TYJ SPRING ROLL 8.5 inch X40SHEETS X 20PKT,38.99,
TASTY NIBBLES,TNKFCCOCPO,TN KERALA FISH CURRY&COCONUT MILK POUCH 200GX24,56.99,
TASTY NIBBLES,TNKFCSHAPOU,TN KERALA FISH SHAPPILE CURRY POUCH 200GX24,56.99,
TASTY NIBBLES,TNPRAMANGPO,TN PRAWN MANGO CURRY POUCH 200GX24,62.99,
PARLE,PARH,PARLE HIDE & SEEK BOURBON 60 X 82.5 GM,19.99,
PARLE,PARHC,PARLE HYDE&SEEK CHOKLATE 60X82.5GM,29.99,
PARLE,PARL,PARLE-G BISCUITS 79.9GM X 144,25.92,
PARLE,PARL2,PARLE-G BISCUITS FAMILY PACK 14X799GM,22.99,
PARLE,PARR,PARLE ELACHI RUSK FAMILY 12X600GM,25.99,
,EVECHICKEN,EVEREST CHICKEN MASALA 100G X 10,12.9,
,EVEMEAT,EVEREST MEAT MASALA 100G X 10,11.9,
GRB,GRB2,GRB GHEE 2L X 6,143.88,
GRB,GRBDATESHAL,GRB DATES HALWA 200G X 40,87.6,
GRB,GRBDRYFRHAL,GRB DRY FRUITS HALWA 200G X 40,87.6,
GRB,GRBMYSORE,GRB CRISPY MYSORE PAK 200G X 24,61.96,
GRB,GRBMYSPAK400,GRB CRISPY MYSORE PAK 400G X 16,79.84,
GRB,GRBPINEHAL,GRB PINEAPPLE HALWA 200G X 40,87.6,
GRB,GRBSOANPAP,GRB SOAN PAPDI 200G X 40,66.6,
GRB,MUTTON,MUTTON BONE CURRY CUT 1 KG x 20,160,
TOWN BUS,TBALBHUJ,TOWN BUS ALOO BHUJIA 150G X 28,27.72,
TOWN BUS,TBKHARBHO,TOWN BUS KHARA BOONDI 170G X 48,47.52,
TOWN BUS,TBKHARSEV,TOWN BUS KHARA SEV 170G X 48,47.52,
TOWN BUS,TBKODUB340,TOWN BUS KODUBALE 340G X 32,60.48,
TOWN BUS,TBMIXKERA,TOWN BUS KERALA MIXTURE 170G X 48,47.52,
TOWN BUS,TBMIXMADR,TOWN BUS MADARAS MIXTURE 170G X 48,47.52,
TOWN BUS,TBPEANMAS,TOWN BUS MASALA PEANUT 170G X 48,47.52,
TOWN BUS,TBTHATTAI340,TOWN BUS THATTAI 340G X 32,60.48,
TOWN BUS,TBTHEENKU,TOWN BUS THENKUZHAL MURUKKU 170G X 48,47.52,
MAGGI,MAGGI,MAGGI COCO MILK POWDER 1KG X 12,119.99,
RICES (ALL BRANDS),DHJAY-M,DH JAYA RICE 10KG,13.99,
RICES (ALL BRANDS),DHMATT-M,DH RICE MATTA 10KG,12.99,
RICES (ALL BRANDS),IGBASMATI5,INDIA GATE CLASSIC BASMATI RICE 5KG x 4,53.96,
RICES (ALL BRANDS),IGBASMATIPREMIUM,INDIA GATE PREMIUM BASMATI RICE 5KG X 4 (500G Free),47.96,
RICES (ALL BRANDS),IGBASMATISELLA,INDIA GATE GOLDEN SELLA BASMATI RICE 5KG x 4,47.96,
RICES (ALL BRANDS),IGGOLDENSELLA1,INDIA GATE GOLDEN SELLA RICE 1KG x 20,29.9,
RICES (ALL BRANDS),IGJEERA,INDIA GATE JEERA RICE 5KG X 4,49.96,
RICES (ALL BRANDS),IGJEERA2,INDIA GATE JEERA RICE 2KG X 10,53.9,
RICES (ALL BRANDS),IGPONNI,INDIA GATE PONNI RICE 10KG,12.49,
RICES (ALL BRANDS),IGSONAMAS,INDIA GATE SONA MASOORI 10 KG,12.99,
RICES (ALL BRANDS),IGSONAMAS5,INDIA GATE SONA MASOORI RICE 5KG X 4,29,
RICES (ALL BRANDS),KTGHEE20KG,KT GHEE RICE 20KG,54.99,
RICES (ALL BRANDS),MCBROK,MC BROKEN RICE 1KG X12,23.88,
RICES (ALL BRANDS),MCJAYA5,MC JAYA RICE 5KG X 4,25.99,
RICES (ALL BRANDS),MCKHAIMA,MC KHIMA RICE 5KG X 4,55.99,
RICES (ALL BRANDS),MCKHAIMA2,MC KHIMA RICE 2KG X 9,44.99,
RICES (ALL BRANDS),MCPON,MC TANJ PONNI BOILED RICE 5KG X4,25.99,
RICES (ALL BRANDS),MCPONNIR,MC TANJ PONNI BOILED RICE 2KG X 9,24.99,
RICES (ALL BRANDS),MCSON,MC SONA MASOORI RICE 5KG X4,29.49,
RICES (ALL BRANDS),MCSONAM,MC SONA MASOORI RICE 2KG X 9,27.49,
RICES (ALL BRANDS),MCWHITERAWRICE,MC WHITE RAW RICE 2KG X 09,25.75,
RICES (ALL BRANDS),MCWITERAW,MC WHITE RAW RICE 5KG X 4,27.99,
RICES (ALL BRANDS),PAVIZH-M,PAVIZHAM MATTA RICE 10KG,12.99,
RICES (ALL BRANDS),RAMAJEYASONA5,RAMAJEYAM SONA MASOORI 5KG X 4,27.96,
RICES (ALL BRANDS),ROSESELLA20,BARDHAMAN ROSE SELLA BASMATI RICE 20KG X 1,39.99,
RICES (ALL BRANDS),SARMATTA,SARAS MATTA RICE 10KG,10.99,
RICES (ALL BRANDS),TRIVENIM,TRIVENI MATTA RICE 20 LBS (9.08 KG),8.49,
RICES (ALL BRANDS),TRIVENISONA,TRIVENI SONA MASOORI RICE 9.07KG (20 LBS) ***OFFER PRICE ***,8.99,
RICES (ALL BRANDS),VSMAT,VS MATTA RICE 10KG,10.99,
RICES (ALL BRANDS),VSMAT5,VS MATTA RICE 5KG,5.99,
CROCKERY,AMMIKALLU,STONE AMMIKALLU,45,
CROCKERY,NOLAPPACH,NOLTA APPACHATTY,9.99,
CROCKERY,NOLBIRYAP13,NOLTA DUM BIRIYANI POT 13 LTR,37.99,
CROCKERY,NOLBIRYAP16,NOLTA DUM BIRIYANI POT 16 LTR,42.99,
CROCKERY,NOLBIRYAP8.5,NOLTA BIRIYANI POT 8.5 LTR,23.99,
CROCKERY,NOLCOOKER3,NOLTA COOKER 3 LTR (ALUMINIUM),16.99,
CROCKERY,NOLCOOKER5,NOLTA COOKER 5 LTR (ALUMINIUM),21.49,
CROCKERY,NOLCOOKER7.5,NOLTA COOKER 7.5 LTR (ALUMINIUM),24.99,
CROCKERY,NOLHOTP3.5,NOLTA HOT POT 3.5 LTR,15.99,
CROCKERY,NOLHOTP5,NOLTA HOT POT 5 LTR,20.99,
CROCKERY,NOLIDLICO,NOLTA IDLI COOKER (16 IDLI),16.99,
CROCKERY,NOLKADA260,NOLTA KADAI 260MM,15.99,
CROCKERY,NOLTAWAM,NOLTA MULTI TAWA 280MM,11.99,
CROCKERY,PREECOCOSTA,PREETHI COCOSTA,66.99,
CROCKERY,PUTTUKOD,PUTTU KODAM LEKSHMI SUPERGOLD,7.99,
OTHER ITEMS,BANALE-M,BANANA LEAF PAPER X 100,13.99,
OTHER ITEMS,LEAFSP-B,LEAF SPINACH BLOCK 4 X 2.5KG,12.99,
OTHER ITEMS,LGKAY2,LG KAYAM POWDER 50G X20,25.8,
OTHER ITEMS,MANBB,MANCHATTY BLACK MEDIUM,8.99,
OTHER ITEMS,MANBL,MANCHATTY BLACK LARGE,10.99,
OTHER ITEMS,SADYAPAZHAYIDOM,PAZHAYIDOM FROZEN ONASADHYA FAMILY PACK,34.99,
OTHER ITEMS,THIIL,OC THILAPIA FILLET 5/7OZ 1KG X5,24.99,
OTHER ITEMS,V.MIXEDVEG,MIX VEGETABLES 907GR,1.38,
OTHER ITEMS,V.PEAS,PEAS 907 GRM,1.58,
